
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      2.5
-3.68687 -0.858157  2.5 
-3.75256 -0.851703  2.5 
-3.78788 -0.847982  2.5 
-3.84757 -0.831663  2.5 
-3.88889 -0.819338  2.5 
-3.90491 -0.811623  2.5 
-3.94252 -0.791583  2.5 
-3.97607 -0.771543  2.5 
-3.9899 -0.762181  2.5 
-4.00135 -0.751503  2.5 
-4.01997 -0.731463  2.5 
-4.03573 -0.711423  2.5 
-4.04867 -0.691383  2.5 
-4.05884 -0.671343  2.5 
-4.06631 -0.651303  2.5 
-4.07111 -0.631263  2.5 
-4.07328 -0.611222  2.5 
-4.07288 -0.591182  2.5 
-4.06995 -0.571142  2.5 
-4.06452 -0.551102  2.5 
-4.05663 -0.531062  2.5 
-4.04633 -0.511022  2.5 
-4.03365 -0.490982  2.5 
-4.01863 -0.470942  2.5 
-4.0013 -0.450902  2.5 
-3.9899 -0.439251  2.5 
-3.97868 -0.430862  2.5 
-3.94888 -0.410822  2.5 
-3.91618 -0.390782  2.5 
-3.88889 -0.3754  2.5 
-3.87563 -0.370741  2.5 
-3.81442 -0.350701  2.5 
-3.78788 -0.342542  2.5 
-3.68919 -0.330661  2.5 
-3.68687 -0.330396  2.5 
-3.68293 -0.330661  2.5 
-3.58586 -0.337747  2.5 
-3.53868 -0.350701  2.5 
-3.48485 -0.36693  2.5 
-3.47753 -0.370741  2.5 
-3.44232 -0.390782  2.5 
-3.41058 -0.410822  2.5 
-3.38384 -0.429703  2.5 
-3.38267 -0.430862  2.5 
-3.3646 -0.450902  2.5 
-3.34879 -0.470942  2.5 
-3.33519 -0.490982  2.5 
-3.32379 -0.511022  2.5 
-3.31457 -0.531062  2.5 
-3.30753 -0.551102  2.5 
-3.30268 -0.571142  2.5 
-3.30003 -0.591182  2.5 
-3.29961 -0.611222  2.5 
-3.30147 -0.631263  2.5 
-3.30564 -0.651303  2.5 
-3.31221 -0.671343  2.5 
-3.32123 -0.691383  2.5 
-3.33281 -0.711423  2.5 
-3.34705 -0.731463  2.5 
-3.36409 -0.751503  2.5 
-3.38384 -0.771316  2.5 
-3.38416 -0.771543  2.5 
-3.41634 -0.791583  2.5 
-3.45325 -0.811623  2.5 
-3.48485 -0.826761  2.5 
-3.50257 -0.831663  2.5 
-3.584 -0.851703  2.5 
-3.58586 -0.852114  2.5 
-3.68687 -0.858157  2.5 


# Contour 1, label:        2
-0.151515  3.81803  2 
-0.151909  3.81764  2 
-0.173049  3.7976  2 
-0.194978  3.77756  2 
-0.217655  3.75752  2 
-0.241041  3.73747  2 
-0.252525  3.72796  2 
-0.267305  3.71743  2 
-0.296158  3.69739  2 
-0.32549  3.67735  2 
-0.353535  3.65849  2 
-0.355644  3.65731  2 
-0.392322  3.63727  2 
-0.429041  3.61723  2 
-0.454545  3.60339  2 
-0.469032  3.59719  2 
-0.515897  3.57715  2 
-0.555556  3.55995  2 
-0.564615  3.55711  2 
-0.627695  3.53707  2 
-0.656566  3.52766  2 
-0.709446  3.51703  2 
-0.757576  3.50695  2 
-0.858586  3.49966  2 
